"map_publisher","channel"
"heartsouthwestplymouthandsouthhamstrading","paidradio"
"heartsouthwesttorbaytrading","paidradio"
"heartsussextrading","paidradio"
"heartthamesvalleyberksandnhantstrading","paidradio"
"heartthamesvalleyoxfordshiretrading","paidradio"
"heartwestcountrybristol/westonandbathtrading","paidradio"
"heartwestcountrygloucestershiretrading","paidradio"
"heartwestcountrysomersettrading","paidradio"
"heartwestcountrywiltshiretrading","paidradio"
"heartwestmidlandstrading","paidradio"
"heartyorkshiretrading","paidradio"
"history","paidtelevision"
"histryplus1","paidtelevision"
"home","paidtelevision"
"homeplus1","paidtelevision"
"horror","paidtelevision"
"horsecou","paidtelevision"
"hpaidtelevisionw3plus1","paidtelevision"
"hpaidtelevisionwes3h","paidtelevision"
"hpaidtelevisionwest3","paidtelevision"
"hpaidtelevisionww3","paidtelevision"
"hpaidtelevisionww3plus1","paidtelevision"
"htvw3plus1","paidtelevision"
"htvwes3h","paidtelevision"
"htvwest3","paidtelevision"
"htvww3","paidtelevision"
"humeuro","paidtelevision"
"hummas","paidtelevision"
"insight","paidtelevision"
"ipaidtelevision2","paidtelevision"
"ipaidtelevision2plus1","paidtelevision"
"ipaidtelevision3","paidtelevision"
"ipaidtelevision3plus1","paidtelevision"
"ipaidtelevision4","paidtelevision"
"ipaidtelevision4plus1","paidtelevision"
"ipaidtelevisionbe","paidtelevision"
"ipaidtelevisionbeplus1","paidtelevision"
"ipaidtelevisionbew","paidtelevision"
"ipaidtelevisionbew3h","paidtelevision"
"ipaidtelevisionbewplus1","paidtelevision"
"ipaidtelevisionbgb","paidtelevision"
"ipaidtelevisionbgb3h","paidtelevision"
"ipaidtelevisionbgbplus1","paidtelevision"
"ipaidtelevisionblon","paidtelevision"
"ipaidtelevisionblonh","paidtelevision"
"ipaidtelevisionbmi3h","paidtelevision"
"ipaidtelevisionbmids","paidtelevision"
"ipaidtelevisionbmiplus1","paidtelevision"
"ipaidtelevisionbnet","paidtelevision"
"ipaidtelevisionbneth","paidtelevision"
"ipaidtelevisionbno3h","paidtelevision"
"ipaidtelevisionbnoplus1","paidtelevision"
"ipaidtelevisionbnor","paidtelevision"
"ipaidtelevisionbns3h","paidtelevision"
"ipaidtelevisionbnsm","paidtelevision"
"ipaidtelevisionbnsplus1","paidtelevision"
"ipaidtelevisionbntplus1","paidtelevision"
"ipaidtelevisionbsc3h","paidtelevision"
"ipaidtelevisionbscot","paidtelevision"
"ipaidtelevisionbscplus1","paidtelevision"
"ipaidtelevisionbst3h","paidtelevision"
"ipaidtelevisionbsth","paidtelevision"
"ipaidtelevisionbstplus1","paidtelevision"
"ipaidtelevisionbul3h","paidtelevision"
"ipaidtelevisionbuls","paidtelevision"
"ipaidtelevisionencor","paidtelevision"
"ipaidtelevisionencplus1","paidtelevision"
"itv2","paidtelevision"
"itv2plus1","paidtelevision"
"itv3","paidtelevision"
"itv3plus1","paidtelevision"
"itv4","paidtelevision"
"itv4plus1","paidtelevision"
"itvbe","paidtelevision"
"itvbeplus1","paidtelevision"
"itvbew","paidtelevision"
"itvbew3h","paidtelevision"
"itvbewplus1","paidtelevision"
"itvbgb","paidtelevision"
"itvbgb3h","paidtelevision"
"itvbgbplus1","paidtelevision"
"itvblon","paidtelevision"
"itvblonh","paidtelevision"
"itvbmi3h","paidtelevision"
"itvbmids","paidtelevision"
"itvbmiplus1","paidtelevision"
"itvbnet","paidtelevision"
"itvbneth","paidtelevision"
"itvbno3h","paidtelevision"
"itvbnoplus1","paidtelevision"
"itvbnor","paidtelevision"
"itvbns3h","paidtelevision"
"itvbnsm","paidtelevision"
"itvbnsplus1","paidtelevision"
"itvbntplus1","paidtelevision"
"itvbsc3h","paidtelevision"
"itvbscot","paidtelevision"
"itvbscplus1","paidtelevision"
"itvbsh","paidtelevision"
"itvbst3h","paidtelevision"
"itvbsth","paidtelevision"
"itvbstplus1","paidtelevision"
"itvbul3h","paidtelevision"
"itvbuls","paidtelevision"
"itvencor","paidtelevision"
"itvencplus1","paidtelevision"
"itvsales","paidtelevision"
"jcd","paidoutofhome"
"keepitc","paidtelevision"
"kerrang","paidtelevision"
"kiss","paidtelevision"
"kisslondonairtimetrading","paidradio"
"kissnetworkincheatandkerrangairtimetrading","paidradio"
